FlowCell Text Data File: 250601-6-F2.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-06-01
Time: 21:07:42
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 551199
Source A Zero: 228011.0

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
425788.242, 224157.629, 21.70, 0.542603, , 
427746.032, 224150.694, 21.80, 0.532209, , 
429712.839, 224302.613, 21.90, 0.523410, , 
430740.677, 224251.548, 22.00, 0.517521, , 
432186.387, 224155.306, 22.10, 0.509015, , 
433267.661, 224156.306, 22.20, 0.503401, , 
434089.790, 224193.823, 22.30, 0.499512, , 
434164.113, 224285.242, 22.40, 0.500044, 4, 0.795
434591.952, 224251.210, 22.50, 0.497486, , 
434489.645, 224176.048, 22.60, 0.497261, , 
434525.258, 224235.677, 22.70, 0.497675, , 
434668.645, 224199.935, 22.80, 0.496574, , 
434578.677, 224226.290, 22.90, 0.497305, , 
435096.919, 224296.371, 23.00, 0.495326, , 
435398.726, 224243.629, 23.10, 0.493236, , 
436181.613, 224234.226, 23.20, 0.489099, , 
436983.742, 224313.048, 23.30, 0.485755, , 
437641.613, 224269.145, 23.40, 0.481929, , 
438996.081, 224259.935, 23.50, 0.474882, , 
440860.790, 224350.984, 23.59, 0.466257, , 
443194.419, 224370.823, 23.69, 0.454575, , 
445615.242, 224446.000, 23.79, 0.443070, , 
448913.823, 224446.000, 23.89, 0.426473, , 
451594.097, 224446.000, 24.00, 0.413077, , 
